X,C_W1,C_W2,t,N
88.8172157455649,0.0,0.0,49.874999999999346,18.0
88.54385204169333,0.0,0.0,49.91666666666601,18.0
88.2607998132063,0.0,0.0,49.958333333332675,18.0
88.03676146910576,0.0,0.0,49.99999999999934,18.0
87.73991174928,0.0,0.0,50.041666666666,18.0
87.51029383715635,0.0,0.0,50.08333333333267,18.0
87.29832849957397,0.0,0.0,50.12499999999933,18.0
87.15130838247255,0.0,0.0,50.166666666665996,18.0
86.92148371222652,0.0,0.0,50.20833333333266,18.0
86.7503729425179,0.0,0.0,50.249999999999325,18.0
86.48226058360007,0.0,0.0,50.29166666666599,18.0
86.30348681073075,0.0,0.0,50.333333333332654,18.0
86.0758920445542,0.0,0.0,50.37499999999932,18.0
85.92015935508022,0.0,0.0,50.41666666666598,18.0
85.75340327703856,0.0,0.0,50.45833333333265,18.0
85.62299727288699,0.0,0.0,50.49999999999931,18.0
85.48991560138583,0.0,0.0,50.541666666665975,18.0
85.34633778278652,0.0,0.0,50.58333333333264,18.0
85.20604186669446,0.0,0.0,50.624999999999304,18.0
85.1058462758325,0.0,0.0,50.66666666666597,18.0
85.05258339190242,0.0,0.0,50.70833333333263,18.0
84.93525969137163,0.0,0.0,50.7499999999993,18.0
84.79832604319918,0.0,0.0,50.79166666666596,18.0
84.712666683507,0.0,0.0,50.833333333332625,18.0
84.56747451818602,0.0,0.0,50.87499999999929,18.0
84.54257620260421,0.0,0.0,50.916666666665954,18.0
84.42581128569762,0.0,0.0,50.95833333333262,18.0
84.32143234301697,0.0,0.0,50.99999999999928,18.0
84.25115379481723,0.0,0.0,51.04166666666595,18.0
84.2169674207746,0.0,0.0,51.08333333333261,18.0
84.08888811388542,0.0,0.0,51.124999999999275,18.0
83.99387229841237,0.0,0.0,51.16666666666594,18.0
83.93253463422104,0.0,0.0,51.208333333332604,18.0
83.86355069393898,0.0,0.0,51.24999999999927,18.0
83.75942141334949,0.0,0.0,51.29166666666593,18.0
83.73552564374164,0.0,0.0,51.3333333333326,18.0
83.66676061569038,0.0,0.0,51.37499999999926,18.0
